Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,133,125,158,5.72,0.000%,6.11845,0.44,2.59,73.0
TOTAL,100,133,125,158,5.72,0.000%,6.11845,0.44,2.59,73.0
