Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,4000,1784,151,4969,322.52,0.050%,21.89729,1.70,9.28,79.3
TOTAL,4000,1784,151,4969,322.52,0.050%,21.89729,1.70,9.28,79.3
