Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2000,992,135,4291,305.50,0.050%,19.31024,1.50,8.18,79.3
TOTAL,2000,992,135,4291,305.50,0.050%,19.31024,1.50,8.18,79.3
